136	Pirates of the Caribbean: At World's End	BV	$411,960,900	$309,420,425	2007
137	Harry Potter and the Chamber of Secrets	WB	$411,429,500	$261,988,482	2002
138	The Fugitive	WB	$406,679,400	$183,875,760	1993
139	The Caine Mutiny	Col.	$406,591,800	$21,750,000	1954
140	Iron Man	Par.	$406,208,100	$318,412,101	2008
141	Transformers: Dark of the Moon	P/DW	$405,429,800	$352,390,543	2011
142	Meet the Fockers	Uni.	$404,624,900	$279,261,160	2004
143	Indiana Jones and the Kingdom of the Crystal Skull	Par.	$404,546,800	$317,101,119	2008
144	Jumanji: Welcome to the Jungle	Sony	$404,256,300	$404,515,480	2017
145	Toy Story	BV	$401,833,900	$191,796,233	1995^
146	Dances with Wolves	Orion	$400,285,500	$184,208,848	1990
147	An Officer and a Gentleman	Par.	$399,896,800	$129,795,554	1982
148	Guardians of the Galaxy Vol. 2	BV	$398,977,800	$389,813,101	2017
149	2001: A Space Odyssey	MGM	$398,219,600	$58,162,769	1968^
150	Rain Man	MGM	$396,552,000	$172,825,435	1988
151	The Secret Life of Pets	Uni.	$396,388,100	$368,384,330	2016
152	Guess Who's Coming to Dinner	Col.	$396,234,100	$56,666,667	1967
153	Inside Out	BV	$395,589,200	$356,461,711	2015
154	American Sniper	WB	$394,612,800	$350,126,372	2014
155	Kramer Vs. Kramer	Col.	$394,065,400	$106,260,000	1979
156	Armageddon	BV	$393,700,700	$201,578,182	1998
157	Psycho	Par.	$390,826,800	$32,000,000	1960
158	Rocky III	UA	$389,421,400	$125,049,125	1982^
159	Harry Potter and the Order of the Phoenix	WB	$388,773,700	$292,004,738	2007
160	Rambo: First Blood Part II	TriS	$388,114,200	$150,415,432	1985
161	Batman Forever	WB	$387,523,000	$184,031,112	1995
162	Deadpool	Fox	$387,403,700	$363,070,709	2016
163	Pretty Woman	BV	$386,336,000	$178,406,268	1990
164	Earthquake	Uni.	$386,109,300	$79,666,653	1974
